Category: All categories

Region,desert locust: (7/27/19 - 7/27/20)
Nevada,100
California,40
Washington,33
New Jersey,32
Pennsylvania,30
Ohio,28
New York,26
Florida,23
Texas,23
Michigan,22
Illinois,22
Virginia,20
Georgia,18
North Carolina,17
Maryland,14
District of Columbia,
Montana,
Wyoming,
Alaska,
Idaho,
New Hampshire,
South Dakota,
New Mexico,
Iowa,
Arkansas,
Maine,
Hawaii,
West Virginia,
Oklahoma,
Kansas,
Nebraska,
Massachusetts,
Arizona,
Utah,
Mississippi,
Minnesota,
Oregon,
Colorado,
Connecticut,
Alabama,
Wisconsin,
Indiana,
Tennessee,
Louisiana,
Missouri,
South Carolina,
Delaware,
Kentucky,
North Dakota,
Rhode Island,
Vermont,
