Category: All categories

Week,desert locust: (Ethiopia)
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,51
2019-10-27,48
2019-11-03,48
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,85
2020-01-19,52
2020-01-26,100
2020-02-02,100
2020-02-09,51
2020-02-16,78
2020-02-23,0
2020-03-01,50
2020-03-08,49
2020-03-15,51
2020-03-22,0
2020-03-29,0
2020-04-05,94
2020-04-12,50
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,46
2020-05-24,87
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,42
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
