Category: All categories

Week,desert locust: (Worldwide)
2019-07-28,6
2019-08-04,3
2019-08-11,3
2019-08-18,2
2019-08-25,2
2019-09-01,2
2019-09-08,2
2019-09-15,4
2019-09-22,4
2019-09-29,2
2019-10-06,2
2019-10-13,2
2019-10-20,4
2019-10-27,4
2019-11-03,4
2019-11-10,4
2019-11-17,4
2019-11-24,2
2019-12-01,3
2019-12-08,1
2019-12-15,4
2019-12-22,5
2019-12-29,6
2020-01-05,7
2020-01-12,17
2020-01-19,14
2020-01-26,25
2020-02-02,24
2020-02-09,33
2020-02-16,56
2020-02-23,27
2020-03-01,16
2020-03-08,14
2020-03-15,17
2020-03-22,11
2020-03-29,7
2020-04-05,10
2020-04-12,9
2020-04-19,15
2020-04-26,10
2020-05-03,12
2020-05-10,7
2020-05-17,15
2020-05-24,100
2020-05-31,26
2020-06-07,12
2020-06-14,8
2020-06-21,13
2020-06-28,20
2020-07-05,8
2020-07-12,8
2020-07-19,10
