Category: All categories

Week,desert locust: (Kenya),south sudan: (Kenya)
2019-07-28,0,47
2019-08-04,0,40
2019-08-11,0,36
2019-08-18,0,61
2019-08-25,0,56
2019-09-01,0,68
2019-09-08,0,81
2019-09-15,0,49
2019-09-22,4,54
2019-09-29,0,49
2019-10-06,0,51
2019-10-13,0,41
2019-10-20,0,50
2019-10-27,0,44
2019-11-03,0,46
2019-11-10,0,78
2019-11-17,0,86
2019-11-24,0,60
2019-12-01,0,58
2019-12-08,0,63
2019-12-15,0,44
2019-12-22,5,55
2019-12-29,4,54
2020-01-05,12,61
2020-01-12,33,80
2020-01-19,20,43
2020-01-26,32,53
2020-02-02,12,56
2020-02-09,17,71
2020-02-16,14,100
2020-02-23,12,68
2020-03-01,10,71
2020-03-08,12,72
2020-03-15,6,75
2020-03-22,6,60
2020-03-29,4,60
2020-04-05,4,89
2020-04-12,6,70
2020-04-19,6,69
2020-04-26,12,69
2020-05-03,8,47
2020-05-10,4,61
2020-05-17,5,80
2020-05-24,6,76
2020-05-31,4,65
2020-06-07,7,48
2020-06-14,0,56
2020-06-21,0,48
2020-06-28,3,76
2020-07-05,0,46
2020-07-12,3,50
2020-07-19,5,33
