Category: All categories

Week,desert locust: (United States)
2019-07-28,48
2019-08-04,0
2019-08-11,25
2019-08-18,19
2019-08-25,24
2019-09-01,12
2019-09-08,23
2019-09-15,19
2019-09-22,23
2019-09-29,0
2019-10-06,20
2019-10-13,0
2019-10-20,23
2019-10-27,0
2019-11-03,31
2019-11-10,15
2019-11-17,28
2019-11-24,12
2019-12-01,15
2019-12-08,17
2019-12-15,12
2019-12-22,13
2019-12-29,36
2020-01-05,17
2020-01-12,25
2020-01-19,45
2020-01-26,77
2020-02-02,54
2020-02-09,51
2020-02-16,83
2020-02-23,60
2020-03-01,57
2020-03-08,56
2020-03-15,100
2020-03-22,54
2020-03-29,39
2020-04-05,40
2020-04-12,55
2020-04-19,24
2020-04-26,34
2020-05-03,29
2020-05-10,23
2020-05-17,23
2020-05-24,72
2020-05-31,53
2020-06-07,37
2020-06-14,31
2020-06-21,39
2020-06-28,29
2020-07-05,36
2020-07-12,27
2020-07-19,46
